Date,Ticker,Type,Units,Price,Brokerage,Broker,Total_Cost
2018-10-24,ASX:VBLD,Buy,11.0,49.6,10.0,COMMSEC,555.6
2019-02-18,ASX:BOQ,Buy,60.0,9.31,10.0,COMMSEC,568.6
2019-03-21,ASX:SYR,Buy,561.0,0.98,10.0,COMMSEC,559.78
2020-01-09,ASX:WBC,Buy,32.0,17.1,10.0,COMMSEC,557.2
2020-09-01,ASX:WBC,Buy,32.0,17.1,10.0,COMMSEC,557.2
