Code,Market Code,Name,Date,Type,Qty,Price,Instrument Currency,Cost Base Per Share (aud),Brokerage,Brokerage Currency,Exch. Rate,Value, 
VISM,ASX,Vanguard Msci Intl Small Companies Indx Etf,2022-01-19,Reinvestment,0.0000,64.45,AUD,,0.00,AUD,1.00,0.00,
SYR,ASX,Syrah Resources,2022-03-07,Buy,95.0000,1.48,AUD,,0.00,AUD,1.00,140.60,
VISM,ASX,Vanguard Msci Intl Small Companies Indx Etf,2022-04-20,Reinvestment,1.0000,57.44,AUD,,0.00,AUD,1.00,57.44,
BOQ,ASX,Bank Of Queensland.,2022-05-26,Reinvestment,2.0000,7.29,AUD,,0.00,AUD,1.00,14.58,
WBC,ASX,Westpac Banking Corp,2022-06-24,Reinvestment,0.0000,23.96,AUD,,0.00,AUD,1.00,0.00,
HACK,ASX,Betashares Global Cybersecurity Etf,2022-07-18,Reinvestment,44.0000,8.01,AUD,,0.00,AUD,1.00,352.53,
VISM,ASX,Vanguard Msci Intl Small Companies Indx Etf,2022-07-18,Reinvestment,0.0000,50.91,AUD,,0.00,AUD,1.00,0.00,
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2022-09-26,Buy,7.0000,25.64,AUD,,2.00,AUD,1.00,181.48,
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2022-09-26,Buy,8.0000,25.62,AUD,,2.00,AUD,1.00,206.96,
VISM,ASX,Vanguard Msci Intl Small Companies Indx Etf,2022-09-28,Sell,-34.0000,51.35,AUD,,1.00,AUD,1.00,"-1,744.90",
HACK,ASX,Betashares Global Cybersecurity Etf,2022-09-29,Sell,-563.0000,8.25,AUD,,3.00,AUD,1.00,"-4,641.75",
VTS,ASX,Vngd Us Total Market,2022-09-29,Sell,-4.0000,285.00,AUD,,3.00,AUD,1.00,"-1,137.00",
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2022-10-07,Buy,19.0000,26.03,AUD,,2.00,AUD,1.00,496.66,
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2022-10-14,Reinvestment,0.0000,24.97,AUD,,0.00,AUD,1.00,0.00,
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2022-10-20,Sell,-34.0000,25.47,AUD,,2.00,AUD,1.00,-863.98,
BOQ,ASX,Bank Of Queensland.,2022-11-17,Reinvestment,4.0000,7.19,AUD,,0.00,AUD,1.00,28.78,
WBC,ASX,Westpac Banking Corp,2022-12-20,Reinvestment,1.0000,23.86,AUD,,0.00,AUD,1.00,23.86,
BOQ,ASX,Bank Of Queensland.,2023-06-01,Reinvestment,3.0000,5.57,AUD,,0.00,AUD,1.00,16.70,
